Activity,Id_Leg,Checkin,Start,Dep,Arr,End,Checkout,Repouso Extra,Tempo Repouso Extra Diurno,Tempo Repouso Extra Noturno,Tempo Repouso Extra Especial Diurno,Tempo Repouso Extra Especial Noturno
AD5052,-F,NaT,NaT,GYN,CGB,NaT,NaT,0 days 01:28:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2610,-IF,NaT,NaT,CGB,AFL,NaT,NaT,0 days 11:29:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4249,-F,NaT,NaT,BSB,VCP,NaT,NaT,0 days 13:17:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5500,-F,01/09/2018 13:10,01/09/2018 19:48,THE,VCP,01/09/2018 22:42,01/09/2018 23:12,0 days 13:28:00,0 days 06:48:00,0 days 06:40:00,0 days 00:00:00,0 days 00:00:00
AD2688,-F,03/09/2018 00:40,03/09/2018 06:08,PNZ,VCP,03/09/2018 08:38,03/09/2018 09:08,0 days 05:52:00,0 days 00:00:00,0 days 05:52:00,0 days 00:00:00,0 days 00:00:00
S06,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 10:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
S10,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 03:30:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4446,-F,NaT,NaT,GRU,BSB,NaT,NaT,0 days 01:16:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4007,-F,NaT,NaT,SDU,VCP,NaT,NaT,0 days 01:58:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
PP1,-IF,01/10/2018 11:15,01/10/2018 11:15,VCP,VCP,01/10/2018 21:55,01/10/2018 22:25,0 days 00:50:00,0 days 00:50:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
PP1,-IF,02/10/2018 11:15,02/10/2018 11:15,VCP,VCP,02/10/2018 21:15,02/10/2018 21:45,0 days 01:30:00,0 days 01:30:00,0 days 00:00:00,0 days 01:30:00,0 days 00:00:00
PP1,-IF,03/10/2018 11:15,03/10/2018 11:15,VCP,VCP,03/10/2018 21:35,03/10/2018 22:05,0 days 00:55:00,0 days 00:55:00,0 days 00:00:00,0 days 00:55:00,0 days 00:00:00
BUS,-IF,04/10/2018 17:00,04/10/2018 17:00,GRU,VCP,04/10/2018 19:00,04/10/2018 19:30,0 days 00:45:00,0 days 00:45:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
R05,-IF,05/10/2018 08:15,05/10/2018 08:15,VCP,VCP,05/10/2018 11:15,05/10/2018 11:45,0 days 03:15:00,0 days 00:00:00,0 days 03:15:00,0 days 00:00:00,0 days 00:00:00
