Activity,Id_Leg,Checkin,Dep,Arr,Start,End,Checkout,Tempo Solo Diurno,Tempo Solo Noturno,Tempo Solo Especial Diurno,Tempo Solo Especial Noturno
AD4250,-M,17/04/2022 12:40,CGH,REC,17/04/2022 18:03,17/04/2022 21:08,18/04/2022 00:22,0 days 00:00:00,0 days 01:12:00,0 days 00:00:00,0 days 01:12:00
AD4254,-F,17/04/2022 12:40,REC,FOR,17/04/2022 22:20,17/04/2022 23:52,18/04/2022 00:22,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2829,-I,18/04/2022 14:25,FOR,REC,18/04/2022 15:19,18/04/2022 16:39,18/04/2022 22:55,0 days 01:13:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2653,-M,18/04/2022 14:25,REC,SSA,18/04/2022 17:52,18/04/2022 19:19,18/04/2022 22:55,0 days 00:00:00,0 days 00:44:00,0 days 00:00:00,0 days 00:00:00
AD4941,-F,18/04/2022 14:25,SSA,VCP,18/04/2022 20:03,18/04/2022 22:25,18/04/2022 22:55,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4372,-F,21/04/2022 21:10,VCP,SSA,21/04/2022 23:39,22/04/2022 01:46,22/04/2022 02:16,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4572,-I,22/04/2022 17:05,SSA,CNF,22/04/2022 17:41,22/04/2022 19:21,22/04/2022 23:18,0 days 00:00:00,0 days 02:02:00,0 days 00:00:00,0 days 00:00:00
AD4789,-F,22/04/2022 17:05,CNF,VCP,22/04/2022 21:23,22/04/2022 22:48,22/04/2022 23:18,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4905,-I,29/04/2022 10:30,SSA,CGH,29/04/2022 11:41,29/04/2022 14:00,29/04/2022 21:11,0 days 00:55:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4906,-M,29/04/2022 10:30,CGH,SSA,29/04/2022 14:55,29/04/2022 17:13,29/04/2022 21:11,0 days 00:47:00,0 days 00:04:00,0 days 00:00:00,0 days 00:00:00
AD4914,-F,29/04/2022 10:30,SSA,CGH,29/04/2022 18:04,29/04/2022 20:41,29/04/2022 21:11,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4144,-I,30/04/2022 13:00,CGH,REC,30/04/2022 13:49,30/04/2022 16:46,30/04/2022 21:03,0 days 01:10:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2773,-F,30/04/2022 13:00,REC,CGB,30/04/2022 17:56,30/04/2022 20:33,30/04/2022 21:03,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5041,-I,01/05/2022 10:55,CGB,VCP,01/05/2022 11:36,01/05/2022 14:32,01/05/2022 21:49,0 days 01:49:00,0 days 00:00:00,0 days 01:49:00,0 days 00:00:00
AD4776,-M,01/05/2022 10:55,VCP,CNF,01/05/2022 16:21,01/05/2022 17:42,01/05/2022 21:49,0 days 00:18:00,0 days 00:56:00,0 days 00:18:00,0 days 00:56:00
AD4241,-F,01/05/2022 10:55,CNF,REC,01/05/2022 18:56,01/05/2022 21:19,01/05/2022 21:49,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4109,-I,11/05/2022 03:30,BVB,BEL,11/05/2022 04:22,11/05/2022 07:35,11/05/2022 11:37,0 days 00:59:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4109,-F,11/05/2022 03:30,BEL,REC,11/05/2022 08:34,11/05/2022 11:07,11/05/2022 11:37,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4145,-I,12/05/2022 12:40,REC,CGH,12/05/2022 13:34,12/05/2022 16:45,13/05/2022 00:10,0 days 01:15:00,0 days 00:01:00,0 days 00:00:00,0 days 00:00:00
AD4250,-M,12/05/2022 12:40,CGH,REC,12/05/2022 18:01,12/05/2022 21:16,13/05/2022 00:10,0 days 00:00:00,0 days 01:03:00,0 days 00:00:00,0 days 00:00:00
AD4254,-F,12/05/2022 12:40,REC,FOR,12/05/2022 22:19,12/05/2022 23:40,13/05/2022 00:10,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2829,-I,13/05/2022 14:20,FOR,REC,13/05/2022 15:16,13/05/2022 16:45,13/05/2022 21:18,0 days 01:15:00,0 days 00:03:00,0 days 00:00:00,0 days 00:00:00
AD4612,-F,13/05/2022 14:20,REC,BSB,13/05/2022 18:03,13/05/2022 20:48,13/05/2022 21:18,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4517,-F,16/05/2022 16:00,GRU,POA,16/05/2022 21:30,16/05/2022 23:19,16/05/2022 23:49,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4026,-I,18/05/2022 04:30,POA,VCP,18/05/2022 05:32,18/05/2022 07:06,18/05/2022 13:07,0 days 00:55:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4698,-M,18/05/2022 04:30,VCP,VIX,18/05/2022 08:01,18/05/2022 09:38,18/05/2022 13:07,0 days 00:58:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5093,-F,18/05/2022 04:30,VIX,VCP,18/05/2022 10:36,18/05/2022 12:37,18/05/2022 13:07,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
