Activity,Id_Leg,Checkin,Dep,Arr,Start,End,Checkout,Tempo Solo Diurno,Tempo Solo Noturno,Tempo Solo Especial Diurno,Tempo Solo Especial Noturno
AD5169,-M,05/07/2018 17:10,PFB,VCP,05/07/2018 20:22,05/07/2018 21:40,06/07/2018 02:09,0 days 00:00:00,0 days 00:50:00,0 days 00:00:00,0 days 00:00:00
AD4260,-M,05/07/2018 17:10,VCP,GIG,05/07/2018 22:30,05/07/2018 23:30,06/07/2018 02:09,15 days 00:00:00,15 days 00:40:00,0 days 00:00:00,0 days 00:00:00
AD4261,-F,05/07/2018 17:10,GIG,VCP,06/07/2018 00:10,06/07/2018 01:39,06/07/2018 02:09,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5016,-M,06/07/2018 19:00,GRU,SDU,06/07/2018 21:50,06/07/2018 22:50,07/07/2018 02:31,14 days 12:00:00,14 days 13:58:00,0 days 00:00:00,0 days 00:00:00
AD9640,-F,06/07/2018 19:00,SDU,VCP,07/07/2018 00:48,07/07/2018 02:01,07/07/2018 02:31,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4195,-I,NaT,VCP,GIG,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD6962,-M,NaT,GIG,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4082,-M,NaT,VCP,GYN,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4432,-F,NaT,GYN,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5210,-I,NaT,VCP,SSA,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5211,-M,NaT,SSA,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4361,-F,NaT,VCP,CWB,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
