Activity,Id_Leg,Checkin,Checkout,Repouso
FR,-IF,2019-10-01 06:00:00,2019-10-02 06:00:00,0 days 02:15:00
PP2,-IF,2019-10-02 08:15:00,2019-10-02 10:15:00,0 days 00:00:00
PP2,-IF,2019-10-02 10:15:00,2019-10-02 12:15:00,0 days 01:00:00
PP2,-IF,2019-10-02 13:15:00,2019-10-02 15:15:00,0 days 00:00:00
PP2,-IF,2019-10-02 15:15:00,2019-10-02 17:15:00,0 days 00:00:00
DGR,-IF,2019-10-02 17:15:00,2019-10-02 18:35:00,0 days 13:40:00
CRM,-IF,2019-10-03 08:15:00,2019-10-03 17:15:00,0 days 12:00:00
FR,-IF,2019-10-04 05:15:00,2019-10-05 05:15:00,0 days 08:05:00
AD2645,-F,2019-10-05 13:20:00,2019-10-05 22:42:00,0 days 12:43:00
AD4877,-F,2019-10-06 11:25:00,2019-10-06 21:06:00,0 days 16:39:00
AD5024,-F,2019-10-07 13:45:00,2019-10-07 22:17:00,0 days 14:58:00
AD2953,-F,2019-10-08 13:15:00,2019-10-08 22:27:00,0 days 12:58:00
REX,-IF,2019-10-09 11:25:00,2019-10-09 14:25:00,0 days 15:05:00
AD5798,-IF,2019-10-10 05:30:00,2019-10-10 08:10:00,1 days 02:20:00
FR,-IF,2019-10-11 10:30:00,2019-10-12 10:30:00,0 days 00:00:00
FR,-IF,2019-10-31 12:30:00,2019-11-01 12:30:00,0 days 00:30:00
AD4877,-F,2019-11-01 13:00:00,2019-11-01 21:46:00,0 days 15:34:00
AD4869,-F,2019-11-02 13:20:00,2019-11-02 20:50:00,0 days 14:40:00
AD4869,-F,2019-11-03 11:30:00,2019-11-03 20:53:00,0 days 17:27:00
AD4316,-F,2019-11-04 14:20:00,2019-11-04 23:20:00,1 days 00:40:00
SNA,-IF,2019-11-06 00:00:00,2019-11-07 00:00:00,0 days 01:30:00
FR,-IF,2019-11-07 01:30:00,2019-11-08 01:30:00,0 days 15:30:00
AD4359,-F,2019-11-08 17:00:00,2019-11-09 01:56:00,0 days 18:59:00
AD5435,-F,2019-11-09 20:55:00,2019-11-10 02:09:00,0 days 12:51:00
AD2772,-F,2019-11-10 15:00:00,2019-11-10 23:05:00,1 days 00:55:00
F,-IF,2019-11-30 07:00:00,2019-12-01 07:00:00,0 days 00:00:00
F,-IF,2019-12-01 07:00:00,2019-12-02 07:00:00,0 days 00:00:00
F,-IF,2019-12-02 07:00:00,2019-12-03 07:00:00,0 days 01:15:00
GS,-IF,2019-12-03 08:15:00,2019-12-03 17:15:00,0 days 13:45:00
F,-IF,2019-12-04 07:00:00,2019-12-05 07:00:00,0 days 00:00:00
F,-IF,2019-12-05 07:00:00,2019-12-06 07:00:00,0 days 04:15:00
APT,-IF,2019-12-06 11:15:00,2019-12-06 15:15:00,0 days 15:45:00
APT,-IF,2019-12-07 07:00:00,2019-12-07 11:00:00,0 days 20:00:00
APT,-IF,2019-12-08 07:00:00,2019-12-08 11:00:00,0 days 21:15:00
GS,-IF,2019-12-09 08:15:00,2019-12-09 17:15:00,0 days 13:15:00
F,-IF,2019-12-10 06:30:00,2019-12-11 06:30:00,0 days 00:00:00
F,-IF,2019-12-11 06:30:00,2019-12-12 06:30:00,0 days 11:15:00
F,-IF,2019-12-31 08:00:00,2020-01-01 08:00:00,0 days 00:00:00
F,-IF,2020-01-01 08:00:00,2020-01-02 08:00:00,0 days 00:00:00
F,-IF,2020-01-02 08:00:00,2020-01-03 08:00:00,0 days 00:00:00
F,-IF,2020-01-03 08:00:00,2020-01-04 08:00:00,0 days 05:30:00
SFX,-IF,2020-01-04 13:30:00,2020-01-04 17:30:00,1 days 04:30:00
SFX,-IF,2020-01-05 22:00:00,2020-01-06 02:00:00,0 days 15:45:00
SFX,-IF,2020-01-06 17:45:00,2020-01-06 21:45:00,0 days 15:45:00
SFX,-IF,2020-01-07 13:30:00,2020-01-07 17:30:00,0 days 13:00:00
F,-IF,2020-01-08 06:30:00,2020-01-09 06:30:00,0 days 00:00:00
F,-IF,2020-01-09 06:30:00,2020-01-10 06:30:00,0 days 00:00:00
F,-IF,2020-01-10 06:30:00,2020-01-11 06:30:00,0 days 05:00:00
BUS,-IF,2020-01-11 11:30:00,2020-01-11 13:30:00,0 days 01:40:00
SFX,-IF,2020-01-11 15:10:00,2020-01-11 19:10:00,0 days 14:20:00
BUS,-IF,2020-01-12 09:30:00,2020-01-12 11:30:00,0 days 02:00:00
FR,-IF,2020-01-31 23:59:00,2020-02-01 23:59:00,0 days 14:56:00
AD2432,-F,2020-02-02 14:55:00,2020-02-02 22:53:00,0 days 13:12:00
AD2883,-F,2020-02-03 12:05:00,2020-02-03 20:35:00,0 days 22:15:00
AD2432,-IF,2020-02-04 18:50:00,2020-02-05 02:40:00,0 days 23:20:00
