Activity,Id_Leg,Checkin,Checkout,Jornada
AD5500,-I,2018-09-01 13:10:00,2018-09-01 23:12:00,0 days 00:00:00
AD5500,-M,2018-09-01 13:10:00,2018-09-01 23:12:00,0 days 00:00:00
AD5500,-F,2018-09-01 13:10:00,2018-09-01 23:12:00,0 days 10:32:00
AD2688,-I,2018-09-03 00:40:00,2018-09-03 09:08:00,0 days 00:00:00
AD2688,-M,2018-09-03 00:40:00,2018-09-03 09:08:00,0 days 00:00:00
AD2688,-F,2018-09-03 00:40:00,2018-09-03 09:08:00,0 days 08:58:00
SNA,-IF,2018-09-04 03:00:00,2018-09-05 03:29:00,1 days 00:59:00
SNA,-IF,2018-09-05 03:00:00,2018-09-06 03:29:00,1 days 00:59:00
SNA,-IF,2018-09-06 03:00:00,2018-09-07 03:29:00,1 days 00:59:00
FR,-IF,2018-09-07 03:00:00,2018-09-08 03:30:00,1 days 01:00:00
FR,-IF,2018-09-08 03:00:00,2018-09-09 03:30:00,1 days 01:00:00
FR,-IF,2018-09-09 03:00:00,2018-09-10 03:30:00,1 days 01:00:00
SNA,-IF,2018-09-10 03:00:00,2018-09-11 03:29:00,1 days 00:59:00
SNA,-IF,2018-09-11 03:00:00,2018-09-12 03:29:00,1 days 00:59:00
PP1,-IF,2018-10-01 11:15:00,2018-10-01 22:25:00,0 days 11:40:00
PP1,-IF,2018-10-02 11:15:00,2018-10-02 21:45:00,0 days 11:00:00
PP1,-IF,2018-10-03 11:15:00,2018-10-03 22:05:00,0 days 11:20:00
BUS,-IF,2018-10-04 11:00:00,2018-10-04 13:30:00,0 days 03:00:00
EGP,-IF,2018-10-04 13:00:00,2018-10-04 17:30:00,0 days 05:00:00
BUS,-IF,2018-10-04 17:00:00,2018-10-04 19:30:00,0 days 03:00:00
R05,-IF,2018-10-05 08:15:00,2018-10-05 11:45:00,0 days 04:00:00
FR,-IF,2018-10-06 03:00:00,2018-10-07 03:30:00,1 days 01:00:00
FR,-IF,2018-10-07 03:00:00,2018-10-08 03:30:00,1 days 01:00:00
SNA,-IF,2018-10-08 03:01:00,2018-10-09 03:29:00,1 days 00:58:00
SNA,-IF,2018-10-09 03:01:00,2018-10-10 03:29:00,1 days 00:58:00
SNA,-IF,2018-10-10 03:01:00,2018-10-11 03:29:00,1 days 00:58:00
SNA,-IF,2018-10-11 03:01:00,2018-10-12 03:29:00,1 days 00:58:00
FER,-IF,2018-11-01 03:00:00,2018-11-02 03:30:00,1 days 01:00:00
FER,-IF,2018-11-02 03:00:00,2018-11-03 03:30:00,1 days 01:00:00
FER,-IF,2018-11-03 03:00:00,2018-11-04 02:30:00,1 days 00:00:00
FER,-IF,2018-11-04 02:00:00,2018-11-05 02:30:00,1 days 01:00:00
FER,-IF,2018-11-05 02:00:00,2018-11-06 02:30:00,1 days 01:00:00
FER,-IF,2018-11-06 02:00:00,2018-11-07 02:30:00,1 days 01:00:00
FER,-IF,2018-11-07 02:00:00,2018-11-08 02:30:00,1 days 01:00:00
FER,-IF,2018-11-08 02:00:00,2018-11-09 02:30:00,1 days 01:00:00
FER,-IF,2018-11-09 02:00:00,2018-11-10 02:30:00,1 days 01:00:00
FER,-IF,2018-11-10 02:00:00,2018-11-11 02:30:00,1 days 01:00:00
FER,-IF,2018-11-11 02:00:00,2018-11-12 02:30:00,1 days 01:00:00
FR,-IF,2018-12-01 08:55:00,2018-12-02 09:25:00,1 days 01:00:00
FR,-IF,2018-12-02 08:55:00,2018-12-03 09:25:00,1 days 01:00:00
SNA,-IF,2018-12-04 02:01:00,2018-12-05 02:29:00,1 days 00:58:00
SNA,-IF,2018-12-05 02:01:00,2018-12-06 02:29:00,1 days 00:58:00
SNA,-IF,2018-12-06 02:01:00,2018-12-07 02:29:00,1 days 00:58:00
AD4163,-I,2018-12-07 14:40:00,2018-12-07 20:54:00,0 days 00:00:00
AD6419,-M,2018-12-07 14:40:00,2018-12-07 20:54:00,0 days 00:00:00
AD4103,-F,2018-12-07 14:40:00,2018-12-07 20:54:00,0 days 06:44:00
FR,-IF,2018-12-09 02:00:00,2018-12-10 02:30:00,1 days 01:00:00
SNA,-IF,2018-12-10 02:01:00,2018-12-11 02:29:00,1 days 00:58:00
SNA,-IF,2018-12-11 02:01:00,2018-12-12 02:29:00,1 days 00:58:00
FR,-IF,2019-01-01 06:00:00,2019-01-02 06:30:00,1 days 01:00:00
AD4044,-IF,2019-01-02 14:30:00,2019-01-02 17:14:00,0 days 03:14:00
AD4175,-I,2019-01-03 18:15:00,2019-01-04 02:47:00,0 days 00:00:00
AD4490,-M,2019-01-03 18:15:00,2019-01-04 02:47:00,0 days 00:00:00
AD2898,-F,2019-01-03 18:15:00,2019-01-04 02:47:00,0 days 09:02:00
AD2899,-I,2019-01-05 02:25:00,2019-01-05 08:03:00,0 days 00:00:00
AD5158,-F,2019-01-05 02:25:00,2019-01-05 08:03:00,0 days 06:08:00
LFA,-IF,2019-01-05 08:10:00,2019-01-05 11:10:00,0 days 03:30:00
FR,-IF,2019-01-06 00:55:00,2019-01-07 01:25:00,1 days 01:00:00
SNA,-IF,2019-01-07 02:01:00,2019-01-08 02:29:00,1 days 00:58:00
SNA,-IF,2019-01-08 02:01:00,2019-01-09 02:29:00,1 days 00:58:00
AD5215,-I,2019-01-09 07:30:00,2019-01-09 16:44:00,0 days 00:00:00
AD9058,-M,2019-01-09 07:30:00,2019-01-09 16:44:00,0 days 00:00:00
AD9059,-M,2019-01-09 07:30:00,2019-01-09 16:44:00,0 days 00:00:00
AD6991,-F,2019-01-09 07:30:00,2019-01-09 16:44:00,0 days 09:44:00
AD5166,-I,2019-01-10 09:40:00,2019-01-10 17:49:00,0 days 00:00:00
AD6928,-M,2019-01-10 09:40:00,2019-01-10 17:49:00,0 days 00:00:00
AD4446,-F,2019-01-10 09:40:00,2019-01-10 17:49:00,0 days 08:39:00
AD2520,-I,2019-01-11 07:20:00,2019-01-11 17:09:00,0 days 00:00:00
AD5166,-M,2019-01-11 07:20:00,2019-01-11 17:09:00,0 days 00:00:00
AD6928,-M,2019-01-11 07:20:00,2019-01-11 17:09:00,0 days 00:00:00
AD9068,-F,2019-01-11 07:20:00,2019-01-11 17:09:00,0 days 10:19:00
AD9096,-I,2019-01-12 06:00:00,2019-01-12 10:44:00,0 days 00:00:00
AD4011,-F,2019-01-12 06:00:00,2019-01-12 10:44:00,0 days 05:14:00
AD9106,-I,2019-02-02 00:35:00,2019-02-02 09:45:00,0 days 00:00:00
AD9105,-F,2019-02-02 00:35:00,2019-02-02 09:45:00,0 days 09:40:00
FR,-IF,2019-02-03 00:55:00,2019-02-04 01:25:00,1 days 01:00:00
SNA,-IF,2019-02-04 02:00:00,2019-02-05 02:30:00,1 days 01:00:00
FR,-IF,2019-02-05 02:00:00,2019-02-06 02:30:00,1 days 01:00:00
SNA,-IF,2019-02-06 02:00:00,2019-02-07 02:30:00,1 days 01:00:00
AD4018,-I,2019-02-07 19:55:00,2019-02-08 03:20:00,0 days 00:00:00
AD4316,-M,2019-02-07 19:55:00,2019-02-08 03:20:00,0 days 00:00:00
AD5188,-F,2019-02-07 19:55:00,2019-02-08 03:20:00,0 days 07:55:00
AD5189,-I,2019-02-09 07:20:00,2019-02-09 16:09:00,0 days 00:00:00
AD4000,-M,2019-02-09 07:20:00,2019-02-09 16:09:00,0 days 00:00:00
AD2590,-M,2019-02-09 07:20:00,2019-02-09 16:09:00,0 days 00:00:00
AD4295,-F,2019-02-09 07:20:00,2019-02-09 16:09:00,0 days 09:19:00
FR,-IF,2019-02-10 05:45:00,2019-02-11 06:15:00,1 days 01:00:00
FR,-IF,2019-02-11 05:45:00,2019-02-12 06:15:00,1 days 01:00:00
AD4251,-I,2019-03-01 12:05:00,2019-03-01 21:38:00,0 days 00:00:00
AD5450,-M,2019-03-01 12:05:00,2019-03-01 21:38:00,0 days 00:00:00
AD5450,-M,2019-03-01 12:05:00,2019-03-01 21:38:00,0 days 00:00:00
AD5450,-F,2019-03-01 12:05:00,2019-03-01 21:38:00,0 days 10:03:00
AD9134,-I,2019-03-02 11:25:00,2019-03-02 21:56:00,0 days 00:00:00
AD5468,-M,2019-03-02 11:25:00,2019-03-02 21:56:00,0 days 00:00:00
AD5801,-F,2019-03-02 11:25:00,2019-03-02 21:56:00,0 days 11:01:00
AD2411,-I,2019-03-03 10:30:00,2019-03-03 20:52:00,0 days 00:00:00
AD5728,-M,2019-03-03 10:30:00,2019-03-03 20:52:00,0 days 00:00:00
AD2487,-F,2019-03-03 10:30:00,2019-03-03 20:52:00,0 days 10:52:00
FR,-IF,2019-03-04 10:20:00,2019-03-05 10:50:00,1 days 01:00:00
FR,-IF,2019-03-05 10:20:00,2019-03-06 10:50:00,1 days 01:00:00
SNA,-IF,2019-03-07 03:00:00,2019-03-08 03:30:00,1 days 01:00:00
SNA,-IF,2019-03-08 03:00:00,2019-03-09 03:30:00,1 days 01:00:00
FR,-IF,2019-03-09 03:00:00,2019-03-10 03:30:00,1 days 01:00:00
FR,-IF,2019-03-10 03:00:00,2019-03-11 03:30:00,1 days 01:00:00
SNA,-IF,2019-03-11 03:00:00,2019-03-12 03:30:00,1 days 01:00:00
SNA,-IF,2019-04-02 03:00:00,2019-04-03 03:30:00,1 days 01:00:00
SNA,-IF,2019-04-03 03:00:00,2019-04-04 03:30:00,1 days 01:00:00
AD4004,-I,2019-04-04 09:40:00,2019-04-04 17:00:00,0 days 00:00:00
AD4005,-M,2019-04-04 09:40:00,2019-04-04 17:00:00,0 days 00:00:00
AD4028,-M,2019-04-04 09:40:00,2019-04-04 17:00:00,0 days 00:00:00
AD2409,-F,2019-04-04 09:40:00,2019-04-04 17:00:00,0 days 07:50:00
