Activity,Id_Leg,Checkin,Start,End,Checkout,Tempo Solo
AD2520,-M,2018-09-28 08:20:00,2018-09-28 10:19:00,2018-09-28 11:42:00,2018-09-28 17:32:00,0 days 00:27:00
AD4177,-M,2018-09-28 08:20:00,2018-09-28 12:09:00,2018-09-28 13:14:00,2018-09-28 17:32:00,0 days 00:59:00
AD2543,-M,2018-09-28 08:20:00,2018-09-28 14:13:00,2018-09-28 15:17:00,2018-09-28 17:32:00,0 days 00:35:00
AD4346,-I,2018-11-16 19:25:00,2018-11-16 20:07:00,2018-11-16 21:09:00,2018-11-17 02:28:00,0 days 00:27:00
AD4347,-M,2018-11-16 19:25:00,2018-11-16 21:36:00,2018-11-16 22:48:00,2018-11-17 02:28:00,0 days 01:38:00
AD2690,-I,2018-11-18 08:05:00,2018-11-18 08:49:00,2018-11-18 10:19:00,2018-11-18 17:48:00,0 days 00:35:00
AD4284,-M,2018-11-18 08:05:00,2018-11-18 10:54:00,2018-11-18 12:00:00,2018-11-18 17:48:00,0 days 01:40:00
AD6936,-M,2018-11-18 08:05:00,2018-11-18 13:40:00,2018-11-18 14:46:00,2018-11-18 17:48:00,0 days 00:39:00
AD2520,-I,2018-11-19 07:20:00,2018-11-19 07:55:00,2018-11-19 09:17:00,2018-11-19 11:56:00,0 days 00:55:00
AD4293,-I,2018-11-30 09:35:00,2018-11-30 10:24:00,2018-11-30 12:27:00,2018-11-30 19:52:00,0 days 02:04:00
AD5226,-M,2018-11-30 09:35:00,2018-11-30 14:31:00,2018-11-30 15:28:00,2018-11-30 19:52:00,0 days 00:25:00
AD5227,-M,2018-11-30 09:35:00,2018-11-30 15:53:00,2018-11-30 16:47:00,2018-11-30 19:52:00,0 days 00:29:00
AD4163,-I,2018-12-07 14:40:00,2018-12-07 15:27:00,2018-12-07 16:28:00,2018-12-07 20:54:00,0 days 00:43:00
AD6419,-M,2018-12-07 14:40:00,2018-12-07 17:11:00,2018-12-07 18:52:00,2018-12-07 20:54:00,0 days 00:35:00
AD2498,-I,2018-12-14 23:55:00,2018-12-15 00:49:00,2018-12-15 03:53:00,2018-12-15 07:48:00,0 days 00:37:00
AD9128,-I,2018-12-23 00:10:00,2018-12-23 01:19:00,2018-12-23 04:04:00,2018-12-23 08:05:00,0 days 00:30:00
AD2500,-I,2018-12-26 00:50:00,2018-12-26 01:43:00,2018-12-26 04:21:00,2018-12-26 08:00:00,0 days 00:32:00
AD4079,-I,2018-12-28 10:00:00,2018-12-28 10:52:00,2018-12-28 11:47:00,2018-12-28 18:00:00,0 days 01:45:00
AD6956,-M,2018-12-28 10:00:00,2018-12-28 13:32:00,2018-12-28 14:34:00,2018-12-28 18:00:00,0 days 00:55:00
AD4175,-I,2019-01-03 18:15:00,2019-01-03 19:06:00,2019-01-03 21:03:00,2019-01-04 02:47:00,0 days 01:31:00
AD4490,-M,2019-01-03 18:15:00,2019-01-03 22:34:00,2019-01-04 00:46:00,2019-01-04 02:47:00,0 days 00:37:00
AD2899,-I,2019-01-05 02:25:00,2019-01-05 02:59:00,2019-01-05 03:59:00,2019-01-05 08:03:00,0 days 01:20:00
AD5215,-I,2019-01-09 07:30:00,2019-01-09 08:12:00,2019-01-09 09:43:00,2019-01-09 16:44:00,0 days 00:31:00
AD9058,-M,2019-01-09 07:30:00,2019-01-09 10:14:00,2019-01-09 11:47:00,2019-01-09 16:44:00,0 days 00:30:00
AD9059,-M,2019-01-09 07:30:00,2019-01-09 12:17:00,2019-01-09 13:47:00,2019-01-09 16:44:00,0 days 01:19:00
AD5166,-I,2019-01-10 09:40:00,2019-01-10 10:21:00,2019-01-10 11:29:00,2019-01-10 17:49:00,0 days 00:42:00
AD6928,-M,2019-01-10 09:40:00,2019-01-10 12:11:00,2019-01-10 13:27:00,2019-01-10 17:49:00,0 days 02:06:00
AD2520,-I,2019-01-11 07:20:00,2019-01-11 07:57:00,2019-01-11 09:14:00,2019-01-11 17:09:00,0 days 01:01:00
AD5166,-M,2019-01-11 07:20:00,2019-01-11 10:15:00,2019-01-11 11:24:00,2019-01-11 17:09:00,0 days 00:43:00
AD6928,-M,2019-01-11 07:20:00,2019-01-11 12:07:00,2019-01-11 13:13:00,2019-01-11 17:09:00,0 days 01:21:00
AD9096,-I,2019-01-12 06:00:00,2019-01-12 06:34:00,2019-01-12 08:13:00,2019-01-12 10:44:00,0 days 00:46:00
AD4490,-I,2019-01-17 21:35:00,2019-01-17 22:23:00,2019-01-18 00:16:00,2019-01-18 02:46:00,0 days 01:08:00
AD2899,-I,2019-01-19 02:25:00,2019-01-19 02:52:00,2019-01-19 03:48:00,2019-01-19 08:05:00,0 days 01:34:00
AD9106,-I,2019-02-02 00:35:00,2019-02-02 01:34:00,2019-02-02 04:54:00,2019-02-02 09:45:00,0 days 01:05:00
AD4018,-I,2019-02-07 19:55:00,2019-02-07 20:39:00,2019-02-07 21:35:00,2019-02-08 03:20:00,0 days 01:54:00
AD4316,-M,2019-02-07 19:55:00,2019-02-07 23:29:00,2019-02-08 00:40:00,2019-02-08 03:20:00,0 days 00:45:00
AD5189,-I,2019-02-09 07:20:00,2019-02-09 07:53:00,2019-02-09 09:13:00,2019-02-09 16:09:00,0 days 01:21:00
AD4000,-M,2019-02-09 07:20:00,2019-02-09 10:34:00,2019-02-09 11:39:00,2019-02-09 16:09:00,0 days 00:44:00
AD2590,-M,2019-02-09 07:20:00,2019-02-09 12:23:00,2019-02-09 13:26:00,2019-02-09 16:09:00,0 days 01:06:00
AD4269,-I,2019-02-14 19:35:00,2019-02-14 20:23:00,2019-02-14 21:28:00,2019-02-14 23:48:00,0 days 00:46:00
AD4043,-I,2019-02-28 15:30:00,2019-02-28 17:26:00,2019-02-28 17:39:00,2019-02-28 23:46:00,0 days 01:00:00
AD5200,-M,2019-02-28 15:30:00,2019-02-28 18:39:00,2019-02-28 19:40:00,2019-02-28 23:46:00,0 days 00:39:00
AD4103,-M,2019-02-28 15:30:00,2019-02-28 20:19:00,2019-02-28 21:19:00,2019-02-28 23:46:00,0 days 00:43:00
AD4251,-I,2019-03-01 12:05:00,2019-03-01 12:44:00,2019-03-01 13:57:00,2019-03-01 21:38:00,0 days 01:37:00
AD5450,-M,2019-03-01 12:05:00,2019-03-01 15:34:00,2019-03-01 17:56:00,2019-03-01 21:38:00,0 days 00:23:00
AD5450,-M,2019-03-01 12:05:00,2019-03-01 18:19:00,2019-03-01 19:06:00,2019-03-01 21:38:00,0 days 00:21:00
AD9134,-I,2019-03-02 11:25:00,2019-03-02 12:17:00,2019-03-02 13:35:00,2019-03-02 21:56:00,0 days 03:47:00
AD5468,-M,2019-03-02 11:25:00,2019-03-02 17:22:00,2019-03-02 18:55:00,2019-03-02 21:56:00,0 days 01:28:00
AD2411,-I,2019-03-03 10:30:00,2019-03-03 10:59:00,2019-03-03 12:18:00,2019-03-03 20:52:00,0 days 02:58:00
AD5728,-M,2019-03-03 10:30:00,2019-03-03 15:16:00,2019-03-03 16:36:00,2019-03-03 20:52:00,0 days 02:28:00
AD4469,-I,2019-03-27 09:45:00,2019-03-27 10:28:00,2019-03-27 12:00:00,2019-03-27 19:49:00,0 days 00:37:00
AD2517,-M,2019-03-27 09:45:00,2019-03-27 12:37:00,2019-03-27 13:54:00,2019-03-27 19:49:00,0 days 01:00:00
AD2602,-M,2019-03-27 09:45:00,2019-03-27 14:54:00,2019-03-27 16:08:00,2019-03-27 19:49:00,0 days 01:28:00
AD9206,-I,2019-03-28 09:50:00,2019-03-28 10:28:00,2019-03-28 11:55:00,2019-03-28 20:07:00,0 days 00:45:00
AD4494,-M,2019-03-28 09:50:00,2019-03-28 12:40:00,2019-03-28 13:43:00,2019-03-28 20:07:00,0 days 00:35:00
AD4231,-M,2019-03-28 09:50:00,2019-03-28 14:18:00,2019-03-28 15:26:00,2019-03-28 20:07:00,0 days 00:50:00
AD4474,-M,2019-03-28 09:50:00,2019-03-28 16:16:00,2019-03-28 17:51:00,2019-03-28 20:07:00,0 days 00:24:00
AD4004,-I,2019-04-04 09:40:00,2019-04-04 10:34:00,2019-04-04 11:43:00,2019-04-04 17:00:00,0 days 00:24:00
AD4005,-M,2019-04-04 09:40:00,2019-04-04 12:07:00,2019-04-04 13:24:00,2019-04-04 17:00:00,0 days 00:31:00
AD4028,-M,2019-04-04 09:40:00,2019-04-04 13:55:00,2019-04-04 14:57:00,2019-04-04 17:00:00,0 days 00:32:00
AD4405,-I,2019-04-05 07:50:00,2019-04-05 08:27:00,2019-04-05 09:30:00,2019-04-05 11:48:00,0 days 00:40:00
AD2787,-I,2019-04-10 10:20:00,2019-04-10 11:14:00,2019-04-10 13:46:00,2019-04-10 21:14:00,0 days 00:38:00
AD4096,-M,2019-04-10 10:20:00,2019-04-10 14:24:00,2019-04-10 16:54:00,2019-04-10 21:14:00,0 days 01:41:00
AD6422,-M,2019-04-10 10:20:00,2019-04-10 18:35:00,2019-04-10 18:51:00,2019-04-10 21:14:00,0 days 00:37:00
AD4986,-I,2019-04-11 09:14:00,2019-04-11 09:45:00,2019-04-11 10:48:00,2019-04-11 18:53:00,0 days 00:38:00
AD4406,-M,2019-04-11 09:14:00,2019-04-11 11:26:00,2019-04-11 12:59:00,2019-04-11 18:53:00,0 days 00:32:00
AD4407,-M,2019-04-11 09:14:00,2019-04-11 13:31:00,2019-04-11 15:01:00,2019-04-11 18:53:00,0 days 01:49:00
AD5149,-I,2019-04-12 08:20:00,2019-04-12 09:00:00,2019-04-12 09:16:00,2019-04-12 19:00:00,0 days 02:39:00
AD5149,-M,2019-04-12 08:20:00,2019-04-12 11:55:00,2019-04-12 13:03:00,2019-04-12 19:00:00,0 days 00:30:00
AD4177,-M,2019-04-12 08:20:00,2019-04-12 13:33:00,2019-04-12 13:49:00,2019-04-12 19:00:00,0 days 03:18:00
AD12,-I,2019-04-13 07:10:00,2019-04-13 07:40:00,2019-04-13 09:56:00,2019-04-13 12:29:00,0 days 00:29:00
AD5059,-I,2019-04-25 01:45:00,2019-04-25 02:50:00,2019-04-25 04:53:00,2019-04-25 09:13:00,0 days 01:35:00
AD4253,-I,2019-05-01 07:40:00,2019-05-01 08:32:00,2019-05-01 11:20:00,2019-05-01 14:11:00,0 days 00:43:00
AD2458,-I,2019-05-02 22:55:00,2019-05-02 23:35:00,2019-05-03 00:47:00,2019-05-03 05:30:00,0 days 01:31:00
